DISTRITO;NO2
Centro;30
Arganzuela;28
Retiro;27
Salamanca;29
Chamart’n;30
Tetu‡n;29
Chamber’;29
Fuencarral - El Pardo;21
Moncloa - Aravaca;16
Latina;28
Carabanchel;32
Usera;36
Puente de Vallecas;30
Moratalaz;29
Ciudad Lineal;27
Hortaleza;24
Villaverde;36
Villa de Vallecas;30
Vic‡lvaro;30
San Blas - Canillejas;28
Barajas;29
