Zona;Estación;Magnitud;Concentraciones máximas horarias;Concentraciones medias anuales
Zona 01 (Interior M-30);Barrio del Pilar;Dióxido de nitrógeno;174;28
Zona 01 (Interior M-30);Barrio del Pilar;Ozono;180;54
Zona 01 (Interior M-30);Castellana;Dióxido de nitrógeno;141;27
Zona 01 (Interior M-30);Castellana;Partículas en suspensión < 10µm;352;18
Zona 01 (Interior M-30);Castellana;Partículas en suspensión < 2,5µm;129;9
Zona 01 (Interior M-30);Cuatro Caminos;Dióxido de nitrógeno;176;30
Zona 01 (Interior M-30);Cuatro Caminos;Partículas en suspensión < 10µm;379;21
Zona 01 (Interior M-30);Cuatro Caminos;Partículas en suspensión < 2,5µm;87;10
Zona 01 (Interior M-30);Escuelas Aguirre;Dióxido de azufre;12;3
Zona 01 (Interior M-30);Escuelas Aguirre;Dióxido de nitrógeno;161;34
Zona 01 (Interior M-30);Escuelas Aguirre;Ozono;181;50
Zona 01 (Interior M-30);Escuelas Aguirre;Partículas en suspensión < 10µm;322;18
Zona 01 (Interior M-30);Escuelas Aguirre;Partículas en suspensión < 2,5µm;105;10
Zona 01 (Interior M-30);Méndez Álvaro;Dióxido de nitrógeno;144;29
Zona 01 (Interior M-30);Méndez Álvaro;Partículas en suspensión < 10µm;682;21
Zona 01 (Interior M-30);Méndez Álvaro;Partículas en suspensión < 2,5µm;117;9
Zona 01 (Interior M-30);Plaza de Castilla;Dióxido de nitrógeno;156;33
Zona 01 (Interior M-30);Plaza de Castilla;Partículas en suspensión < 10µm;617;21
Zona 01 (Interior M-30);Plaza de Castilla;Partículas en suspensión < 2,5µm;115;9
Zona 01 (Interior M-30);Plaza de España;Dióxido de azufre;10;3
Zona 01 (Interior M-30);Plaza de España;Dióxido de nitrógeno;127;25
Zona 01 (Interior M-30);Plaza del Carmen;Dióxido de azufre;41;6
Zona 01 (Interior M-30);Plaza del Carmen;Dióxido de nitrógeno;121;31
Zona 01 (Interior M-30);Plaza del Carmen;Ozono;199;54
Zona 01 (Interior M-30);Ramón y Cajal;Dióxido de nitrógeno;202;31
Zona 01 (Interior M-30);Retiro;Dióxido de nitrógeno;127;22
Zona 01 (Interior M-30);Retiro;Ozono;175;49
Zona 02 (Sureste);Ensanche de Vallecas;Dióxido de nitrógeno;192;29
Zona 02 (Sureste);Ensanche de Vallecas;Ozono;150;52
Zona 02 (Sureste);Moratalaz;Dióxido de azufre;9;3
Zona 02 (Sureste);Moratalaz;Dióxido de nitrógeno;147;29
Zona 02 (Sureste);Moratalaz;Partículas en suspensión < 10µm;678;22
Zona 02 (Sureste);Vallecas;Dióxido de nitrógeno;141;31
Zona 02 (Sureste);Vallecas;Partículas en suspensión < 10µm;721;23
Zona 03 (Noreste);Arturo Soria;Dióxido de nitrógeno;162;30
Zona 03 (Noreste);Arturo Soria;Ozono;126;44
Zona 03 (Noreste);Barajas Pueblo;Dióxido de nitrógeno;141;30
Zona 03 (Noreste);Barajas Pueblo;Ozono;181;47
Zona 03 (Noreste);Juan Carlos I;Dióxido de nitrógeno;159;21
Zona 03 (Noreste);Juan Carlos I;Ozono;174;56
Zona 03 (Noreste);Sanchinarro;Dióxido de azufre;17;4
Zona 03 (Noreste);Sanchinarro;Dióxido de nitrógeno;152;26
Zona 03 (Noreste);Sanchinarro;Partículas en suspensión < 10µm;492;17
Zona 03 (Noreste);Sanchinarro;Partículas en suspensión < 2,5µm;94;8
Zona 03 (Noreste);Tres Olivos;Dióxido de nitrógeno;107;26
Zona 03 (Noreste);Tres Olivos;Ozono;173;55
Zona 03 (Noreste);Tres Olivos;Partículas en suspensión < 10µm;397;19
Zona 03 (Noreste);Urbanización Embajada;Dióxido de nitrógeno;157;31
Zona 03 (Noreste);Urbanización Embajada;Partículas en suspensión < 10µm;680;26
Zona 04 (Noroeste);Casa de Campo;Dióxido de nitrógeno;108;17
Zona 04 (Noroeste);Casa de Campo;Ozono;179;59
Zona 04 (Noroeste);Casa de Campo;Partículas en suspensión < 10µm;650;21
Zona 04 (Noroeste);Casa de Campo;Partículas en suspensión < 2,5µm;128;9
Zona 04 (Noroeste);El Pardo;Dióxido de nitrógeno;103;14
Zona 04 (Noroeste);El Pardo;Ozono;200;56
Zona 05 (Suroeste);Farolillo;Dióxido de nitrógeno;172;28
Zona 05 (Suroeste);Farolillo;Ozono;170;50
Zona 05 (Suroeste);Farolillo;Partículas en suspensión < 10µm;337;21
Zona 05 (Suroeste);Plaza Elíptica;Dióxido de nitrógeno;178;40
Zona 05 (Suroeste);Plaza Elíptica;Partículas en suspensión < 10µm;223;22
Zona 05 (Suroeste);Plaza Elíptica;Partículas en suspensión < 2,5µm;146;11
Zona 05 (Suroeste);Villaverde;Dióxido de nitrógeno;185;35
Zona 05 (Suroeste);Villaverde;Ozono;185;52
